school,lea,new_student_cases,total_student_cases,new_staff_cases,total_staff_cases,type,date
"The Groden Center, Inc.",Private Schools,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
The Pennfield School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
The Providence Center School,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
The Tides School - West Warwick,Private Schools,0,Fewer than five,0,0,virtual,2021-01-27
The Wheeler School,Private Schools,Fewer than five,10 to 14,0,0,virtual,2021-01-27
The Wolf School,Private Schools,0,0,0,Fewer than five,virtual,2021-01-27
Trinity Christian Academy,Private Schools,0,5 to 9,0,0,virtual,2021-01-27
360 High School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Alan Shawn Feinstein Elementary at Broad Street,Providence,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Alfred Lima Sr. Elementary School,Providence,0,5 to 9,Fewer than five,Fewer than five,virtual,2021-01-27
Anthony Carnevale Elementary School,Providence,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Asa Messer Elementary School,Providence,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Carl G. Lauro Elementary School,Providence,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
Central High School,Providence,Fewer than five,45 to 49,0,Fewer than five,virtual,2021-01-27
Charles N. Fortes Elementary School,Providence,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Classical High School,Providence,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-01-27
Dr. Jorge Alvarez High School,Providence,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-01-27
"Dr. Martin Luther King, Jr. Elementary School",Providence,0,5 to 9,0,0,virtual,2021-01-27
E-Cubed Academy,Providence,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Esek Hopkins Middle School,Providence,0,10 to 14,0,0,virtual,2021-01-27
Frank D. Spaziano Elementary School,Providence,0,5 to 9,0,0,virtual,2021-01-27
Frank D. Spaziano Elementary School Annex,Providence,0,Fewer than five,0,0,virtual,2021-01-27
George J. West Elementary School,Providence,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Gilbert Stuart Middle School,Providence,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-01-27
Governor Christopher DelSesto Middle School,Providence,Fewer than five,25 to 29,0,Fewer than five,virtual,2021-01-27
Harry Kizirian Elementary School,Providence,0,5 to 9,0,0,virtual,2021-01-27
Highlander Charter School/Mariposa Center@Meeting St.School,Providence,0,Fewer than five,0,0,virtual,2021-01-27
Hope High School,Providence,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-01-27
Leviton Dual Language School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Lillian Feinstein Elementary Sackett Street,Providence,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Love 4 All Childcare Center,Providence,0,0,0,Fewer than five,virtual,2021-01-27
Mary E. Fogarty Elementary School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Mount Pleasant High School,Providence,Fewer than five,35 to 39,0,Fewer than five,virtual,2021-01-27
Nathan Bishop Middle School,Providence,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Nathanael Greene Middle School (Providence),Providence,Fewer than five,30 to 34,0,Fewer than five,virtual,2021-01-27
Pleasant View School,Providence,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Providence Career and Technical Academy,Providence,Fewer than five,25 to 29,0,Fewer than five,virtual,2021-01-27
Providence Virtual Learning Academy,Providence,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Reservoir Avenue School,Providence,0,5 to 9,0,0,virtual,2021-01-27
Robert F. Kennedy Elementary School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Robert L Bailey IV Elementary School,Providence,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Roger Williams Middle School,Providence,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-01-27
The Sgt. Cornel Young Jr & Charlotte Woods Elementary School @ The B. Jae Clanton Complex,Providence,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Times2 Elementary School,Providence,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Times2 Middle/High School,Providence,0,15 to 19,0,Fewer than five,virtual,2021-01-27
Vartan Gregorian Elementary School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Veazie Street School,Providence,0,15 to 19,0,0,virtual,2021-01-27
Webster Avenue School,Providence,0,5 to 9,0,Fewer than five,virtual,2021-01-27
West Broadway Middle School,Providence,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-01-27
"William B. Cooley, Sr. High School and the Providence Academy of International Studies High School",Providence,Fewer than five,10 to 14,0,0,virtual,2021-01-27
William D'Abate Elementary School,Providence,0,Fewer than five,0,0,virtual,2021-01-27
Rhode Island School for the Deaf,R.I. Sch for the Deaf,0,Fewer than five,0,0,virtual,2021-01-27
RISE Prep Mayoral Academy Elementary School,RISE Prep Mayoral Academy,Fewer than five,5 to 9,0,0,virtual,2021-01-27
RI Nurses Institute Middle College Charter High School,Rhode Island Nurses Institute Middle College,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-01-27
Clayville Elementary School,Scituate,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Hope Elementary School,Scituate,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
North Scituate Elementary School,Scituate,0,0,0,Fewer than five,virtual,2021-01-27
Scituate High School,Scituate,0,10 to 14,0,0,virtual,2021-01-27
Scituate Middle School,Scituate,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Segue Institute for Learning,Segue Institute for Learning,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Sheila Skip Nowell Leadership Academy (Capital Campus),Sheila Skip Nowell Leadership Academy,0,Fewer than five,0,0,virtual,2021-01-27
Sheila Skip Nowell Leadership Academy (Central Campus),Sheila Skip Nowell Leadership Academy,0,Fewer than five,0,0,virtual,2021-01-27
Anna M. McCabe School,Smithfield,Fewer than five,Fewer than five,0,Fewer than five,virtual,2021-01-27
Old County Road School,Smithfield,0,Fewer than five,0,0,virtual,2021-01-27
Raymond C. LaPerche School,Smithfield,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
Smithfield Senior High School,Smithfield,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-01-27
Vincent J. Gallagher Middle School,Smithfield,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-01-27
William Winsor School,Smithfield,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Broad Rock Middle School,South Kingstown,0,5 to 9,0,0,virtual,2021-01-27
Curtis Corner Middle School,South Kingstown,0,10 to 14,0,0,virtual,2021-01-27
Matunuck School,South Kingstown,0,Fewer than five,0,0,virtual,2021-01-27
Peace Dale Elementary School,South Kingstown,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
South Kingstown High School,South Kingstown,Fewer than five,20 to 24,0,0,virtual,2021-01-27
Wakefield Elementary School,South Kingstown,0,Fewer than five,0,0,virtual,2021-01-27
West Kingston Elementary School,South Kingstown,0,0,0,Fewer than five,virtual,2021-01-27
SouthSide Elementary Charter School,SouthSide Charter School,0,5 to 9,0,Fewer than five,virtual,2021-01-27
The Greene School,The Greene School,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
The Hope Academy,The Hope Academy,0,5 to 9,0,0,virtual,2021-01-27
Fort Barton School,Tiverton,0,5 to 9,0,0,virtual,2021-01-27
Pocasset School,Tiverton,0,Fewer than five,0,0,virtual,2021-01-27
Tiverton High School,Tiverton,0,5 to 9,0,0,virtual,2021-01-27
Tiverton Middle School,Tiverton,Fewer than five,5 to 9,0,0,virtual,2021-01-27
Walter E. Ranger School,Tiverton,0,0,0,Fewer than five,virtual,2021-01-27
Trinity Academy for the Performing Arts,Trinity Academy for the Performing Arts,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-01-27
Urban Collaborative Accelerated Program,Urban Collaborative,0,Fewer than five,0,0,virtual,2021-01-27
Village Green Virtual Charter School,Village Green Virtual,0,20 to 24,0,Fewer than five,virtual,2021-01-27
Cedar Hill School,Warwick,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
Cottrell F. Hoxsie School,Warwick,0,Fewer than five,0,0,virtual,2021-01-27
E. G. Robertson School,Warwick,Fewer than five,Fewer than five,0,0,virtual,2021-01-27
Greenwood School,Warwick,0,5 to 9,0,0,virtual,2021-01-27
Harold F. Scott School,Warwick,0,5 to 9,0,0,virtual,2021-01-27
Holliman School,Warwick,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Lippitt School,Warwick,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
Norwood School,Warwick,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Oakland Beach Elementary School,Warwick,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Park School,Warwick,Fewer than five,Fewer than five,Fewer than five,Fewer than five,virtual,2021-01-27
Pilgrim High School,Warwick,Fewer than five,55 to 59,0,Fewer than five,virtual,2021-01-27
Sherman School,Warwick,Fewer than five,5 to 9,0,Fewer than five,virtual,2021-01-27
Toll Gate High School,Warwick,Fewer than five,50 to 54,0,Fewer than five,virtual,2021-01-27
Warwick Area Career and Technical Center,Warwick,0,0,0,Fewer than five,virtual,2021-01-27
Warwick Early Learning Center at John Brown Francis,Warwick,0,Fewer than five,0,0,virtual,2021-01-27
Warwick Neck School,Warwick,0,5 to 9,0,0,virtual,2021-01-27
Warwick Veterans Middle School,Warwick,0,30 to 34,0,Fewer than five,virtual,2021-01-27
Winman Middle School,Warwick,Fewer than five,30 to 34,0,Fewer than five,virtual,2021-01-27
Wyman School,Warwick,0,5 to 9,0,Fewer than five,virtual,2021-01-27
West Bay Collaborative,West Bay Collaborative,0,Fewer than five,0,0,virtual,2021-01-27
Greenbush Elementary School,West Warwick,Fewer than five,10 to 14,0,0,virtual,2021-01-27
John F. Deering Middle School,West Warwick,Fewer than five,20 to 24,0,5 to 9,virtual,2021-01-27
John F. Horgan Elementary School,West Warwick,Fewer than five,20 to 24,0,Fewer than five,virtual,2021-01-27
Maisie E. Quinn Elementary School,West Warwick,0,Fewer than five,0,Fewer than five,virtual,2021-01-27
Wakefield Hills Elementary School,West Warwick,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-27
West Warwick Senior High School,West Warwick,Fewer than five,30 to 34,0,5 to 9,virtual,2021-01-27
Dunn's Corners School,Westerly,0,Fewer than five,0,0,virtual,2021-01-27
Springbrook Elementary School,Westerly,0,Fewer than five,0,0,virtual,2021-01-27
State Street School,Westerly,0,Fewer than five,0,0,virtual,2021-01-27
Westerly High School,Westerly,Fewer than five,10 to 14,0,Fewer than five,virtual,2021-01-27
Westerly Middle School,Westerly,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Bernon Heights School,Woonsocket,0,5 to 9,0,0,virtual,2021-01-27
Globe Park School,Woonsocket,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Harris School,Woonsocket,0,5 to 9,0,Fewer than five,virtual,2021-01-27
Kevin K. Coleman Elementary School,Woonsocket,0,10 to 14,0,Fewer than five,virtual,2021-01-27
Leo A. Savoie School,Woonsocket,Fewer than five,10 to 14,0,0,virtual,2021-01-27
Pothier-Citizens Elementary Campus,Woonsocket,Fewer than five,20 to 24,Fewer than five,5 to 9,virtual,2021-01-27
Woonsocket High School,Woonsocket,5 to 9,70 to 74,Fewer than five,5 to 9,virtual,2021-01-27
Woonsocket Middle School at Hamlet,Woonsocket,Fewer than five,25 to 29,0,Fewer than five,virtual,2021-01-27
Woonsocket Middle School at Villa Nova,Woonsocket,Fewer than five,15 to 19,0,Fewer than five,virtual,2021-01-27
Other*,,10 to 14,110 to 114,Fewer than five,40 to 44,virtual,2021-01-27
,Total:,255 to 259,4180 to 4184,10 to 14,370 to 374,virtual,2021-01-27
AF Providence Mayoral Academy Middle,Achievement First Rhode Island,0,0,0,Fewer than five,in person,2021-02-03
Achievement First Iluminar Mayoral Academy,Achievement First Rhode Island,0,Fewer than five,0,Fewer than five,in person,2021-02-03
Achievement First Promesa Elementary,Achievement First Rhode Island,0,Fewer than five,0,Fewer than five,in person,2021-02-03
Achievement First Providence Mayoral Academy,Achievement First Rhode Island,0,10 to 14,0,Fewer than five,in person,2021-02-03
Barrington High School,Barrington,Fewer than five,15 to 19,0,10 to 14,in person,2021-02-03
Barrington Middle School,Barrington,Fewer than five,30 to 34,0,5 to 9,in person,2021-02-03
Hampden Meadows School,Barrington,0,10 to 14,0,5 to 9,in person,2021-02-03
Nayatt School,Barrington,Fewer than five,10 to 14,0,5 to 9,in person,2021-02-03
Primrose Hill School,Barrington,0,10 to 14,0,5 to 9,in person,2021-02-03
Sowams Elementary School,Barrington,Fewer than five,5 to 9,0,Fewer than five,in person,2021-02-03
BEACON Charter School,Beacon Charter School,0,Fewer than five,0,Fewer than five,in person,2021-02-03
Founders Academy,Beacon Charter School,Fewer than five,Fewer than five,0,0,in person,2021-02-03
Blackstone Academy Charter School,Blackstone Academy,0,Fewer than five,0,Fewer than five,in person,2021-02-03
Blackstone Valley Prep Elementary 2 School (ES2),"Blackstone Valley Prep, A RI Mayoral Academy",0,Fewer than five,0,Fewer than five,in person,2021-02-03
Blackstone Valley Prep Elementary 3 School (ES3),"Blackstone Valley Prep, A RI Mayoral Academy",0,Fewer than five,0,Fewer than five,in person,2021-02-03
Blackstone Valley Prep Elementary School (ES1),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,10 to 14,0,5 to 9,in person,2021-02-03
Blackstone Valley Prep High School (HS),"Blackstone Valley Prep, A RI Mayoral Academy",0,Fewer than five,0,Fewer than five,in person,2021-02-03
Blackstone Valley Prep Upper Elementary School (UES),"Blackstone Valley Prep, A RI Mayoral Academy",Fewer than five,Fewer than five,0,Fewer than five,in person,2021-02-03
Colt Andrews School,Bristol Warren,Fewer than five,10 to 14,0,Fewer than five,in person,2021-02-03
Guiteras School,Bristol Warren,0,5 to 9,0,Fewer than five,in person,2021-02-03
Hugh Cole School,Bristol Warren,Fewer than five,10 to 14,0,10 to 14,in person,2021-02-03
Kickemuit Middle School,Bristol Warren,Fewer than five,25 to 29,Fewer than five,Fewer than five,in person,2021-02-03
Mt. Hope High School,Bristol Warren,Fewer than five,30 to 34,0,10 to 14,in person,2021-02-03
Rockwell School,Bristol Warren,Fewer than five,10 to 14,0,Fewer than five,in person,2021-02-03
Austin T. Levy School,Burrillville,0,5 to 9,0,0,in person,2021-02-03
Burrillville High School,Burrillville,0,20 to 24,0,5 to 9,in person,2021-02-03
Burrillville Middle School,Burrillville,Fewer than five,5 to 9,0,5 to 9,in person,2021-02-03
Steere Farm Elementary School,Burrillville,Fewer than five,5 to 9,0,Fewer than five,in person,2021-02-03
William L. Callahan School,Burrillville,Fewer than five,15 to 19,Fewer than five,Fewer than five,in person,2021-02-03
All Saints Academy,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-02-03
Bishop Connolly High School,Catholic Schools,0,Fewer than five,0,0,in person,2021-02-03
Bishop Hendricken High School,Catholic Schools,Fewer than five,35 to 39,Fewer than five,5 to 9,in person,2021-02-03
Bishop McVinney Regional School,Catholic Schools,0,10 to 14,Fewer than five,Fewer than five,in person,2021-02-03
Blessed Sacrament School,Catholic Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-02-03
Father John V. Doyle School,Catholic Schools,Fewer than five,10 to 14,0,Fewer than five,in person,2021-02-03
Good Shepherd Catholic Regional School,Catholic Schools,Fewer than five,10 to 14,0,Fewer than five,in person,2021-02-03
Holy Trinity School,Catholic Schools,0,Fewer than five,0,0,in person,2021-02-03
Immaculate Conception Catholic Regional,Catholic Schools,0,15 to 19,0,0,in person,2021-02-03
La Salle Academy,Catholic Schools,Fewer than five,60 to 64,0,5 to 9,in person,2021-02-03
Mercymount Country Day School,Catholic Schools,Fewer than five,10 to 14,0,Fewer than five,in person,2021-02-03
Mount St. Charles Academy,Catholic Schools,Fewer than five,30 to 34,Fewer than five,5 to 9,in person,2021-02-03
Msgr. Matthew F. Clarke Catholic Regional School,Catholic Schools,0,10 to 14,0,Fewer than five,in person,2021-02-03
Our Lady of Mercy Regional School,Catholic Schools,0,10 to 14,0,Fewer than five,in person,2021-02-03
Our Lady of Mt. Carmel,Catholic Schools,0,5 to 9,0,0,in person,2021-02-03
Sacred Heart School,Catholic Schools,0,Fewer than five,0,5 to 9,in person,2021-02-03
St. Augustine School,Catholic Schools,0,10 to 14,0,Fewer than five,in person,2021-02-03
St. Cecilia School,Catholic Schools,0,5 to 9,Fewer than five,5 to 9,in person,2021-02-03
St. Joseph School,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-02-03
St. Kevin School,Catholic Schools,0,15 to 19,0,5 to 9,in person,2021-02-03
St. Luke School,Catholic Schools,0,Fewer than five,0,Fewer than five,in person,2021-02-03
St. Margaret School,Catholic Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-02-03
St. Mary Academy-Bay View,Catholic Schools,0,20 to 24,0,Fewer than five,in person,2021-02-03
St. Mary School,Catholic Schools,Fewer than five,10 to 14,0,Fewer than five,in person,2021-02-03
St. Patrick School,Catholic Schools,0,Fewer than five,0,0,in person,2021-02-03
St. Paul School,Catholic Schools,Fewer than five,10 to 14,0,Fewer than five,in person,2021-02-03
St. Peter School,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-02-03
St. Philip School,Catholic Schools,0,10 to 14,0,Fewer than five,in person,2021-02-03
St. Philomena School,Catholic Schools,Fewer than five,5 to 9,0,Fewer than five,in person,2021-02-03
St. Pius V School,Catholic Schools,0,5 to 9,0,Fewer than five,in person,2021-02-03
St. Raphael Academy,Catholic Schools,Fewer than five,15 to 19,0,Fewer than five,in person,2021-02-03
